鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數_num
松山區,房地(土地+建物),八德路四段631~660號,3.89,都市：其他:第三種商業區。,,,1100321,土地1建物1車位0,四層,十三,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021216,39.42,1,1,1,有,有,10500000,266362,,0.0,0,,RPOOMLMLMHGGFDA17EA,22.21,3.03,0.0,有,137.0,13
信義區,房地(土地+建物)+車位,松智路31巷1~30號,41.42,都市：其他:住宅區(信義計畫特定專用區)。,,,1100219,土地2建物1車位1,三層,十三,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870420,168.86,3,2,2,有,有,44050000,260867,坡道平面,0.0,0,,RPSRMLMKMHGGFDA77EA,82.09,1.92,11.2,有,141.0,13
內湖區,房地(土地+建物)+車位,港華街121~150號,22.15,都市：其他:第三種住宅區。,,,1100318,土地1建物1車位1,五層,十三,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971119,154.51999999999998,3,2,2,有,有,30000000,194137,坡道平面,35.05,0,,RPQOMLMLMHGGFCA27EA,72.89,2.43,8.63,有,,13
中山區,房地(土地+建物)+車位,龍江路46巷1~30號,60.91,都市：其他:第三種住宅區。,,,1100205,土地1建物1車位2,十一層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940526,385.49,5,2,4,有,有,150000000,475671,坡道平面,82.76,6000000,親友、員工、共有人或其他特殊關係間之交易；,RPUSMLLLMHGGFCA97EA,186.03,0.0,21.42,有,,14
大同區,房地(土地+建物)+車位,民權西路211~240號,16.98,都市：其他:聯合開發區(捷)。,,,1100128,土地3建物1車位1,十八層,十九,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,218.71,4,2,2,有,有,45000000,237232,坡道平面,39.35,2450000,,RPOPMLMLMHGGFBA07EA,112.55,0.0,13.24,有,,19
大安區,房地(土地+建物)+車位,敦化南路一段161巷61~90號,10.33,都市：其他:第四種住宅區。,,,1070120,土地1建物1車位1,十一層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090817,110.06,1,1,1,有,有,30500000,396590,坡道平面,42.61,3750000,,RPWOMLMLMHGGFFA08DA,37.58,3.7,2.88,有,,14
大安區,房地(土地+建物)+車位,敦化南路一段161巷61~90號,9.3,都市：其他:第四種住宅區。,,,1100330,土地1建物1車位1,十一層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090817,102.71000000000001,1,1,1,有,有,22809600,319627,坡道平面,42.61,3600000,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLMLMHGGFFA18DA,0.0,0.0,0.0,有,,14
大安區,房地(土地+建物),敦化南路一段161巷61~90號,9.47,都市：其他:第四種住宅區。,,,1100330,土地1建物1車位0,十一層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090817,66.93,1,1,1,有,有,21393680,319643,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOPMLMLMHGGFFA37DA,0.0,0.0,0.0,有,,14
大安區,房地(土地+建物)+車位,敦化南路一段161巷61~90號,8.57,都市：其他:第四種住宅區。,,,1061116,土地1建物1車位1,十二層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090817,94.21000000000001,1,1,1,有,有,25200000,390071,坡道平面,39.22,3750000,,RPPPMLMLMHGGFFA47DA,29.86,3.09,3.06,有,,14
大安區,房地(土地+建物),敦化南路一段161巷61~90號,8.51,都市：其他:第四種住宅區。,,,1061207,土地1建物1車位0,十三層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090817,60.1,1,1,1,有,有,23630000,393178,,0.0,0,,RPQPMLMLMHGGFFA57DA,34.42,2.94,1.99,有,,14
